id,transaction_id,account_address,mint_address,pre_balance,post_balance,balance_delta
5427,3852,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965057590,8965050193,-7397
5426,3851,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8963485669,8963478270,-7399
5425,3850,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965064987,8965057590,-7397
5424,3849,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8963493065,8963485669,-7396
5423,3848,GHoPA17XR9Rwqna6Umf8KCiGMWhqjH9obpnYQ6kxRiqs,,0,1100000,1100000
5422,3848,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965080726,8963975726,-1105000
5421,3847,7e9gNynRVxEMAUmeTxZ8gdVGcKKz76St7Nr8Sn1SFy7E,,0,1100000,1100000
5420,3847,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8963508150,8962403150,-1105000
5419,3846,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965088126,8965080726,-7400
5418,3845,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8963515550,8963508150,-7400
5417,3844,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8965095523,8965088126,-7397
